Regular Expression: a.(a|b)*.c+.d?.e
Postfix Expression: aab|*.c+.d?.e.

NFA Graph/Table
Start: 0, Final: 19
    a    b    c    d    e    ~
0   1,   -    -    -    -    -    
1   -    -    -    -    -    8,   
2   3,   -    -    -    -    -    
3   -    -    -    -    -    7,   
4   -    5,   -    -    -    -    
5   -    -    -    -    -    7,   
6   -    -    -    -    -    2,4,   
7   -    -    -    -    -    6,9,   
8   -    -    -    -    -    6,9,   
9   -    -    -    -    -    12,   
10   -    -    11,   -    -    -    
11   -    -    -    -    -    10,13,   
12   -    -    -    -    -    10,   
13   -    -    -    -    -    16,   
14   -    -    -    15,   -    -    
15   -    -    -    -    -    17,   
16   -    -    -    -    -    14,17,   
17   -    -    -    -    -    18,   
18   -    -    -    -    19,   -    
19   -    -    -    -    -    -    
Note: ~ used for epsilon.
